"Date","Price","Open","High","Low","Change %"
"Dec 10, 2020","-0.517","-0.535","-0.498","-0.549","-1.34%"
"Dec 09, 2020","-0.524","-0.519","-0.506","-0.528","-0.76%"
"Dec 08, 2020","-0.528","-0.505","-0.496","-0.535","5.18%"
"Dec 07, 2020","-0.502","-0.485","-0.480","-0.507","8.19%"
"Dec 04, 2020","-0.464","-0.471","-0.455","-0.487","0.22%"
"Dec 03, 2020","-0.463","-0.441","-0.432","-0.469","6.93%"
"Dec 02, 2020","-0.433","-0.434","-0.423","-0.447","-1.14%"
"Dec 01, 2020","-0.438","-0.492","-0.434","-0.498","-9.13%"
"Nov 30, 2020","-0.482","-0.501","-0.480","-0.516","-3.98%"
"Nov 27, 2020","-0.502","-0.500","-0.491","-0.511","0.20%"
"Nov 26, 2020","-0.501","-0.479","-0.472","-0.506","3.51%"
"Nov 25, 2020","-0.484","-0.477","-0.465","-0.498","0.41%"
"Nov 24, 2020","-0.482","-0.488","-0.474","-0.498","-2.82%"
"Nov 23, 2020","-0.496","-0.508","-0.482","-0.511","-1.29%"
"Nov 21, 2020","-0.502","-0.502","-0.502","-0.502","0.50%"
"Nov 20, 2020","-0.500","-0.496","-0.483","-0.508","2.67%"
"Nov 19, 2020","-0.487","-0.478","-0.474","-0.495","3.18%"
"Nov 18, 2020","-0.472","-0.488","-0.460","-0.492","-1.46%"
"Nov 17, 2020","-0.479","-0.457","-0.446","-0.485","5.04%"
"Nov 16, 2020","-0.456","-0.464","-0.422","-0.478","0.22%"
"Nov 13, 2020","-0.455","-0.455","-0.441","-0.469","2.71%"
"Nov 12, 2020","-0.443","-0.430","-0.409","-0.444","7.52%"
"Nov 11, 2020","-0.412","-0.385","-0.371","-0.424","4.83%"
"Nov 10, 2020","-0.393","-0.421","-0.385","-0.427","-5.53%"
"Nov 09, 2020","-0.416","-0.529","-0.404","-0.544","-19.22%"
"Nov 06, 2020","-0.515","-0.530","-0.502","-0.545","-3.56%"
"Nov 05, 2020","-0.534","-0.541","-0.516","-0.552","0.56%"
"Nov 04, 2020","-0.531","-0.544","-0.509","-0.548","4.73%"
"Nov 03, 2020","-0.507","-0.514","-0.489","-0.517","-2.31%"
"Nov 02, 2020","-0.519","-0.513","-0.493","-0.526","1.96%"
"Oct 30, 2020","-0.509","-0.509","-0.495","-0.522","-2.12%"
"Oct 29, 2020","-0.520","-0.506","-0.495","-0.530","1.96%"
"Oct 28, 2020","-0.510","-0.515","-0.493","-0.531","1.39%"
"Oct 27, 2020","-0.503","-0.466","-0.462","-0.505","7.48%"
"Oct 26, 2020","-0.468","-0.486","-0.451","-0.493","0.21%"
"Oct 23, 2020","-0.467","-0.472","-0.442","-0.475","1.52%"
"Oct 22, 2020","-0.460","-0.488","-0.453","-0.492","-3.77%"
"Oct 21, 2020","-0.478","-0.483","-0.465","-0.502","-3.43%"
"Oct 20, 2020","-0.495","-0.522","-0.485","-0.526","-4.81%"
"Oct 19, 2020","-0.520","-0.511","-0.498","-0.524","0.97%"
"Oct 16, 2020","-0.515","-0.502","-0.502","-0.531","2.59%"
"Oct 15, 2020","-0.502","-0.492","-0.492","-0.531","5.02%"
"Oct 14, 2020","-0.478","-0.466","-0.462","-0.487","4.37%"
"Oct 13, 2020","-0.458","-0.452","-0.438","-0.465","2.46%"
"Oct 12, 2020","-0.447","-0.444","-0.429","-0.451","4.68%"
"Oct 09, 2020","-0.427","-0.434","-0.427","-0.450","0.47%"
"Oct 08, 2020","-0.425","-0.393","-0.390","-0.427","7.87%"
"Oct 07, 2020","-0.394","-0.424","-0.380","-0.429","-2.48%"
"Oct 06, 2020","-0.404","-0.412","-0.396","-0.422","-0.25%"
"Oct 05, 2020","-0.405","-0.426","-0.402","-0.439","-5.48%"
"Oct 03, 2020","-0.428","-0.428","-0.428","-0.428","0.35%"
"Oct 02, 2020","-0.427","-0.430","-0.416","-0.444","2.64%"
"Oct 01, 2020","-0.416","-0.393","-0.386","-0.425","3.23%"
"Sep 30, 2020","-0.403","-0.426","-0.401","-0.435","-5.84%"
"Sep 29, 2020","-0.428","-0.417","-0.408","-0.429","5.16%"
"Sep 28, 2020","-0.407","-0.405","-0.388","-0.415","-0.49%"
"Sep 25, 2020","-0.409","-0.389","-0.383","-0.415","4.60%"
"Sep 24, 2020","-0.391","-0.404","-0.386","-0.418","1.03%"
"Sep 23, 2020","-0.387","-0.391","-0.380","-0.413","-0.51%"
"Sep 22, 2020","-0.389","-0.413","-0.383","-0.423","-6.27%"
"Sep 21, 2020","-0.415","-0.378","-0.369","-0.430","8.78%"
"Sep 19, 2020","-0.382","-0.382","-0.382","-0.382","1.46%"
"Sep 18, 2020","-0.376","-0.375","-0.367","-0.405","-1.57%"
"Sep 17, 2020","-0.382","-0.383","-0.352","-0.404","1.06%"
"Sep 16, 2020","-0.378","-0.369","-0.361","-0.393","2.72%"
"Sep 15, 2020","-0.368","-0.368","-0.352","-0.378","0.27%"
"Sep 14, 2020","-0.367","-0.378","-0.360","-0.388","0.00%"
"Sep 11, 2020","-0.367","-0.351","-0.335","-0.369","16.88%"
"Sep 10, 2020","-0.314","-0.342","-0.302","-0.362","-8.45%"
"Sep 09, 2020","-0.343","-0.389","-0.336","-0.392","-9.26%"
"Sep 08, 2020","-0.378","-0.354","-0.338","-0.392","8.31%"
"Sep 07, 2020","-0.349","-0.334","-0.331","-0.369","-4.38%"
"Sep 04, 2020","-0.365","-0.372","-0.351","-0.381","-3.18%"
"Sep 03, 2020","-0.377","-0.353","-0.343","-0.389","5.01%"
"Sep 02, 2020","-0.359","-0.320","-0.313","-0.360","17.70%"
"Sep 01, 2020","-0.305","-0.292","-0.261","-0.308","9.32%"
"Aug 31, 2020","-0.279","-0.302","-0.264","-0.304","-4.45%"
"Aug 28, 2020","-0.292","-0.273","-0.261","-0.310","-0.34%"
"Aug 27, 2020","-0.293","-0.319","-0.270","-0.357","-2.98%"
"Aug 26, 2020","-0.302","-0.284","-0.281","-0.313","-2.89%"
"Aug 25, 2020","-0.311","-0.354","-0.292","-0.359","-14.33%"
"Aug 24, 2020","-0.363","-0.369","-0.350","-0.382","-3.46%"
"Aug 21, 2020","-0.376","-0.374","-0.363","-0.398","1.08%"
"Aug 20, 2020","-0.372","-0.360","-0.339","-0.390","7.83%"
"Aug 19, 2020","-0.345","-0.342","-0.338","-0.370","3.60%"
"Aug 18, 2020","-0.333","-0.333","-0.310","-0.346","3.10%"
"Aug 17, 2020","-0.323","-0.300","-0.291","-0.329","11.38%"
"Aug 14, 2020","-0.290","-0.294","-0.277","-0.302","-2.68%"
"Aug 13, 2020","-0.298","-0.341","-0.283","-0.357","-11.31%"
"Aug 12, 2020","-0.336","-0.353","-0.315","-0.353","-7.44%"
"Aug 11, 2020","-0.363","-0.413","-0.349","-0.414","-11.68%"
"Aug 10, 2020","-0.411","-0.386","-0.369","-0.426","7.03%"
"Aug 07, 2020","-0.384","-0.408","-0.382","-0.420","-6.57%"
"Aug 06, 2020","-0.411","-0.379","-0.365","-0.425","8.44%"
"Aug 05, 2020","-0.379","-0.420","-0.370","-0.428","-10.19%"
"Aug 04, 2020","-0.422","-0.390","-0.379","-0.432","9.04%"
"Aug 03, 2020","-0.387","-0.395","-0.369","-0.399","-1.28%"
"Jul 31, 2020","-0.392","-0.421","-0.384","-0.431","-3.69%"
"Jul 30, 2020","-0.407","-0.389","-0.378","-0.424","10.90%"
"Jul 29, 2020","-0.367","-0.390","-0.359","-0.394","-2.13%"
"Jul 28, 2020","-0.375","-0.354","-0.354","-0.392","3.02%"
