Date (Austria),Price,Open,High,Low,Change %
2022-03-01,0.298,0.509,0.521,0.295,-43.24%
2022-02-28,0.525,0.550,0.591,0.504,-9.33%
2022-02-25,0.579,0.560,0.601,0.517,4.32%
2022-02-24,0.555,0.522,0.574,0.486,-3.98%
2022-02-23,0.578,0.612,0.634,0.575,-5.25%
2022-02-22,0.610,0.505,0.643,0.493,5.90%
2022-02-21,0.576,0.557,0.580,0.517,8.07%
2022-02-18,0.533,0.576,0.591,0.528,-4.99%
2022-02-17,0.561,0.604,0.628,0.556,-10.10%
2022-02-16,0.624,0.665,0.683,0.594,-4.00%
2022-02-15,0.650,0.631,0.680,0.617,4.33%
2022-02-14,0.623,0.566,0.633,0.529,-0.64%
2022-02-11,0.627,0.604,0.636,0.567,3.47%
2022-02-10,0.606,0.530,0.621,0.513,18.36%
2022-02-09,0.512,0.547,0.555,0.506,-9.86%
2022-02-08,0.568,0.554,0.586,0.501,4.41%
2022-02-07,0.544,0.485,0.563,0.473,5.63%
2022-02-04,0.515,0.431,0.530,0.427,19.49%
2022-02-03,0.431,0.299,0.437,0.274,53.93%
2022-02-02,0.280,0.281,0.315,0.253,-2.10%
