Date (Switzerland),Price,Open,High,Low,Change %
2022-07-12,0.792,0.906,0.908,0.766,-12.39%
2022-07-11,0.904,0.936,0.939,0.870,-1.74%
2022-07-08,0.920,0.857,0.925,0.857,7.35%
2022-07-07,0.857,0.798,0.870,0.798,7.39%
2022-07-06,0.798,0.840,0.854,0.773,-3.97%
2022-07-05,0.831,0.919,0.926,0.823,-10.06%
2022-07-04,0.924,0.889,0.945,0.889,3.94%
2022-07-01,0.889,1.051,1.085,0.873,-13.35%
2022-06-30,1.026,1.240,1.255,1.026,-17.46%
2022-06-29,1.243,1.324,1.395,1.243,-11.15%
2022-06-28,1.399,1.356,1.454,1.350,3.32%
2022-06-27,1.354,1.309,1.388,1.294,3.75%
2022-06-24,1.305,1.251,1.305,1.192,2.59%
2022-06-23,1.272,1.395,1.397,1.172,-7.42%
2022-06-22,1.374,1.419,1.419,1.357,-5.63%
2022-06-21,1.456,1.464,1.484,1.439,-0.95%
2022-06-20,1.470,1.415,1.470,1.344,5.30%
2022-06-17,1.396,1.461,1.506,1.356,-5.74%
2022-06-16,1.481,1.322,1.604,1.310,9.79%
2022-06-15,1.349,1.534,1.534,1.297,-5.07%
2022-06-14,1.421,1.136,1.421,1.128,9.56%
2022-06-13,1.297,1.136,1.304,1.128,13.08%
2022-06-10,1.147,1.082,1.153,1.050,4.65%
2022-06-09,1.096,1.069,1.104,1.022,3.69%
2022-06-08,1.057,1.043,1.085,1.038,3.83%
2022-06-07,1.018,1.072,1.072,1.015,-2.40%
2022-06-03,1.043,0.990,1.051,0.988,4.40%
2022-06-02,0.999,0.941,0.999,0.933,6.73%
