Date (Germany),Price,Open,High,Low,Change %
2021-12-20,-0.3660,-0.3780,-0.3520,-0.4020,-2.40%
2021-12-17,-0.3750,-0.3510,-0.3470,-0.3860,8.38%
2021-12-16,-0.3460,-0.3620,-0.3090,-0.3710,-4.42%
2021-12-15,-0.3620,-0.3680,-0.3430,-0.3770,-0.28%
2021-12-14,-0.3630,-0.3800,-0.3500,-0.3840,-4.47%
2021-12-13,-0.3800,-0.3450,-0.3390,-0.3850,8.57%
2021-12-10,-0.3500,-0.3550,-0.3280,-0.3590,-0.28%
2021-12-09,-0.3510,-0.3170,-0.3130,-0.3640,13.59%
2021-12-08,-0.3090,-0.3720,-0.3060,-0.4090,-17.60%
2021-12-07,-0.3750,-0.3560,-0.3480,-0.3840,-3.10%
2021-12-06,-0.3870,-0.3900,-0.3660,-0.3940,2.38%
2021-12-03,-0.3780,-0.3730,-0.3510,-0.3870,1.34%
2021-12-02,-0.3730,-0.3460,-0.3330,-0.3940,12.69%
2021-12-01,-0.3310,-0.3490,-0.2990,-0.3500,-3.50%
2021-11-30,-0.3430,-0.3170,-0.3170,-0.3630,6.19%
2021-11-29,-0.3230,-0.3360,-0.2940,-0.3410,-5.42%
2021-11-27,-0.3415,-0.3415,-0.3415,-0.3415,1.04%
2021-11-26,-0.3380,-0.2490,-0.2490,-0.3430,37.40%
2021-11-25,-0.2460,-0.2260,-0.2190,-0.2500,12.33%
2021-11-24,-0.2190,-0.2500,-0.1990,-0.2500,-3.95%
2021-11-23,-0.2280,-0.2990,-0.2250,-0.2990,-22.97%
2021-11-22,-0.2960,-0.3420,-0.2950,-0.3560,-13.95%
2021-11-20,-0.3440,-0.3440,-0.3440,-0.3440,0.88%
2021-11-19,-0.3410,-0.2750,-0.2520,-0.3440,21.79%
2021-11-18,-0.2800,-0.2460,-0.2450,-0.2820,14.75%
2021-11-17,-0.2440,-0.2400,-0.2290,-0.2560,0.00%
2021-11-16,-0.2440,-0.2330,-0.2190,-0.2520,-0.41%
2021-11-15,-0.2450,-0.2630,-0.2370,-0.2900,-4.30%
2021-11-12,-0.2560,-0.2320,-0.2170,-0.2690,13.27%
2021-11-11,-0.2260,-0.2480,-0.2170,-0.2600,-8.87%
2021-11-10,-0.2480,-0.2970,-0.2430,-0.2980,-16.22%
2021-11-09,-0.2960,-0.2530,-0.2400,-0.2990,19.84%
2021-11-08,-0.2470,-0.2770,-0.2440,-0.2820,-11.79%
2021-11-05,-0.2800,-0.2200,-0.2160,-0.2850,24.44%
2021-11-04,-0.2250,-0.1650,-0.1560,-0.2310,34.73%
2021-11-03,-0.1670,-0.1620,-0.1500,-0.1940,4.37%
2021-11-02,-0.1600,-0.1040,-0.1040,-0.1710,55.34%
2021-11-01,-0.1030,-0.1100,-0.0650,-0.1190,-3.29%
2021-10-30,-0.1065,-0.1065,-0.1065,-0.1065,13.30%
2021-10-29,-0.0940,-0.1100,-0.0640,-0.1270,-37.33%
2021-10-28,-0.1500,-0.1770,-0.1000,-0.1820,-14.77%
2021-10-27,-0.1760,-0.1200,-0.1160,-0.1840,46.67%
2021-10-26,-0.1200,-0.1060,-0.1020,-0.1410,7.14%
2021-10-25,-0.1120,-0.1090,-0.0780,-0.1210,8.21%
2021-10-23,-0.1035,-0.1035,-0.1035,-0.1035,6.70%
2021-10-22,-0.0970,-0.0900,-0.0690,-0.1070,0.00%
2021-10-21,-0.0970,-0.1170,-0.0850,-0.1290,-21.14%
2021-10-20,-0.1230,-0.0940,-0.0920,-0.1340,7.89%
2021-10-19,-0.1140,-0.1470,-0.0960,-0.1730,-22.97%
2021-10-18,-0.1480,-0.1670,-0.1160,-0.1690,-13.45%
2021-10-15,-0.1710,-0.1830,-0.1460,-0.1900,-7.07%
2021-10-14,-0.1840,-0.1230,-0.1090,-0.1920,42.64%
2021-10-13,-0.1290,-0.0910,-0.0850,-0.1460,34.37%
2021-10-12,-0.0960,-0.1220,-0.0880,-0.1360,-19.33%
2021-10-11,-0.1190,-0.1470,-0.1080,-0.1470,-19.05%
2021-10-08,-0.1470,-0.1840,-0.1460,-0.1850,-21.39%
2021-10-07,-0.1870,-0.1700,-0.1660,-0.2080,2.75%
2021-10-06,-0.1820,-0.1590,-0.1470,-0.2010,-3.19%
2021-10-05,-0.1880,-0.2100,-0.1810,-0.2330,-13.36%
2021-10-04,-0.2170,-0.2240,-0.2010,-0.2360,-0.91%
2021-10-01,-0.2190,-0.1970,-0.1970,-0.2430,14.66%
2021-09-30,-0.1910,-0.2090,-0.1770,-0.2210,-10.33%
2021-09-29,-0.2130,-0.1880,-0.1830,-0.2270,7.58%
2021-09-28,-0.1980,-0.2010,-0.1720,-0.2110,-12.39%
2021-09-27,-0.2260,-0.2410,-0.1910,-0.2420,-1.09%
2021-09-25,-0.2285,-0.2290,-0.2285,-0.2290,0.22%
2021-09-24,-0.2280,-0.2440,-0.2180,-0.2490,-9.52%
2021-09-23,-0.2520,-0.3230,-0.2490,-0.3230,-22.70%
2021-09-22,-0.3260,-0.3130,-0.3040,-0.3320,-0.61%
2021-09-21,-0.3280,-0.3140,-0.2950,-0.3400,4.13%
2021-09-20,-0.3150,-0.2880,-0.2760,-0.3330,11.90%
2021-09-18,-0.2815,-0.2815,-0.2815,-0.2815,0.90%
2021-09-17,-0.2790,-0.2940,-0.2650,-0.3020,-8.52%
2021-09-16,-0.3050,-0.3090,-0.2830,-0.3160,-0.97%
2021-09-15,-0.3080,-0.3370,-0.3070,-0.3500,-9.41%
2021-09-14,-0.3400,-0.3260,-0.3010,-0.3530,3.66%
2021-09-13,-0.3280,-0.3330,-0.3200,-0.3460,-0.91%
2021-09-12,-0.3310,-0.3310,-0.3310,-0.3310,0.00%
2021-09-11,-0.3310,-0.3310,-0.3310,-0.3310,-0.30%
2021-09-10,-0.3320,-0.3640,-0.3310,-0.3700,-8.79%
2021-09-09,-0.3640,-0.3270,-0.3190,-0.3680,13.75%
2021-09-08,-0.3200,-0.3180,-0.3100,-0.3450,0.95%
2021-09-07,-0.3170,-0.3580,-0.3130,-0.3640,-13.86%
2021-09-06,-0.3680,-0.3640,-0.3470,-0.3770,2.79%
2021-09-03,-0.3580,-0.3840,-0.3470,-0.3980,-6.77%
2021-09-02,-0.3840,-0.3730,-0.3710,-0.4010,3.50%
2021-09-01,-0.3710,-0.3730,-0.3540,-0.3860,-2.37%
2021-08-31,-0.3800,-0.4330,-0.3760,-0.4420,-13.44%
2021-08-30,-0.4390,-0.4270,-0.4070,-0.4410,4.77%
2021-08-27,-0.4190,-0.4130,-0.4020,-0.4250,0.48%
2021-08-26,-0.4170,-0.4210,-0.4010,-0.4310,0.00%
2021-08-25,-0.4170,-0.4720,-0.4150,-0.4780,-12.58%
2021-08-24,-0.4770,-0.4710,-0.4640,-0.4890,-0.21%
2021-08-23,-0.4780,-0.4820,-0.4570,-0.4960,-3.43%
2021-08-20,-0.4950,-0.4890,-0.4850,-0.4990,1.23%
2021-08-19,-0.4890,-0.4920,-0.4750,-0.5020,1.45%
2021-08-18,-0.4820,-0.4700,-0.4690,-0.4900,3.21%
2021-08-17,-0.4670,-0.4740,-0.4650,-0.5010,0.21%
2021-08-16,-0.4660,-0.4670,-0.4520,-0.4890,0.65%
2021-08-13,-0.4630,-0.4550,-0.4400,-0.4720,0.43%
2021-08-12,-0.4610,-0.4610,-0.4430,-0.4680,0.22%
2021-08-11,-0.4600,-0.4530,-0.4350,-0.4650,1.32%
2021-08-10,-0.4540,-0.4630,-0.4470,-0.4820,-1.09%
2021-08-09,-0.4590,-0.4630,-0.4500,-0.4800,0.88%
2021-08-06,-0.4550,-0.4960,-0.4510,-0.4980,-7.71%
2021-08-05,-0.4930,-0.4920,-0.4890,-0.5240,0.00%
2021-08-04,-0.4930,-0.4850,-0.4750,-0.5170,2.49%
2021-08-03,-0.4810,-0.4760,-0.4640,-0.4930,0.00%
2021-08-02,-0.4810,-0.4590,-0.4440,-0.4810,5.02%
2021-07-30,-0.4580,-0.4600,-0.4400,-0.4610,1.55%
2021-07-29,-0.4510,-0.4490,-0.4240,-0.4650,0.89%
2021-07-28,-0.4470,-0.4430,-0.4360,-0.4560,1.36%
2021-07-27,-0.4410,-0.4210,-0.4150,-0.4440,6.52%
2021-07-26,-0.4140,-0.4240,-0.4000,-0.4490,0.24%
2021-07-23,-0.4130,-0.4260,-0.3960,-0.4260,-1.90%
2021-07-22,-0.4210,-0.4020,-0.3750,-0.4230,6.31%
2021-07-21,-0.3960,-0.4170,-0.3860,-0.4300,-3.41%
2021-07-20,-0.4100,-0.3920,-0.3850,-0.4400,5.94%
2021-07-19,-0.3870,-0.3510,-0.3510,-0.4020,10.26%
2021-07-16,-0.3510,-0.3340,-0.3320,-0.3540,6.04%
2021-07-15,-0.3310,-0.3280,-0.3190,-0.3420,6.09%
2021-07-14,-0.3120,-0.2930,-0.2730,-0.3180,4.35%
2021-07-13,-0.2990,-0.2940,-0.2880,-0.3140,-0.66%
2021-07-12,-0.3010,-0.2920,-0.2900,-0.3160,3.08%
2021-07-09,-0.2920,-0.3030,-0.2870,-0.3170,-6.71%
2021-07-08,-0.3130,-0.3090,-0.2980,-0.3440,8.30%
2021-07-07,-0.2890,-0.2660,-0.2590,-0.3130,7.43%
2021-07-06,-0.2690,-0.2100,-0.1980,-0.2730,29.33%
2021-07-05,-0.2080,-0.2350,-0.2070,-0.2350,-12.42%
2021-07-04,-0.2375,-0.2375,-0.2375,-0.2375,1.06%
2021-07-02,-0.2350,-0.2030,-0.1990,-0.2410,17.50%
2021-07-01,-0.2000,-0.1980,-0.1790,-0.2100,-1.48%
2021-06-30,-0.2030,-0.1690,-0.1670,-0.2140,17.34%
2021-06-29,-0.1730,-0.1900,-0.1600,-0.1900,-6.99%
2021-06-28,-0.1860,-0.1540,-0.1530,-0.1870,18.85%
2021-06-26,-0.1565,-0.1565,-0.1565,-0.1565,0.32%
2021-06-25,-0.1560,-0.1870,-0.1490,-0.1880,-16.13%
2021-06-24,-0.1860,-0.1800,-0.1590,-0.1920,3.91%
2021-06-23,-0.1790,-0.1630,-0.1530,-0.1950,11.18%
2021-06-22,-0.1610,-0.1690,-0.1460,-0.1800,-6.94%
2021-06-21,-0.1730,-0.2000,-0.1600,-0.2190,-14.36%
2021-06-20,-0.2020,-0.2020,-0.2020,-0.2020,0.00%
2021-06-19,-0.2020,-0.2020,-0.2020,-0.2020,-0.49%
2021-06-18,-0.2030,-0.1950,-0.1860,-0.2220,6.84%
2021-06-17,-0.1900,-0.2000,-0.1490,-0.2000,-22.76%
2021-06-16,-0.2460,-0.2310,-0.2300,-0.2490,6.96%
2021-06-15,-0.2300,-0.2540,-0.2280,-0.2640,-9.45%
2021-06-14,-0.2540,-0.2720,-0.2510,-0.2790,-5.58%
2021-06-11,-0.2690,-0.2570,-0.2550,-0.2870,8.91%
2021-06-10,-0.2470,-0.2420,-0.2130,-0.2570,0.00%
2021-06-09,-0.2470,-0.2220,-0.2190,-0.2680,10.76%
2021-06-08,-0.2230,-0.2000,-0.1950,-0.2340,13.20%
2021-06-07,-0.1970,-0.2090,-0.1930,-0.2140,-7.08%
2021-06-05,-0.2120,-0.2120,-0.2120,-0.2120,1.44%
2021-06-04,-0.2090,-0.1830,-0.1770,-0.2170,14.21%
2021-06-03,-0.1830,-0.1940,-0.1740,-0.2000,-6.63%
2021-06-02,-0.1960,-0.1770,-0.1770,-0.2000,12.00%
2021-06-01,-0.1750,-0.1770,-0.1620,-0.1970,-4.37%
2021-05-31,-0.1830,-0.1810,-0.1500,-0.1850,-0.54%
2021-05-28,-0.1840,-0.1700,-0.1530,-0.1920,6.98%
2021-05-27,-0.1720,-0.2060,-0.1630,-0.2120,-15.27%
2021-05-26,-0.2030,-0.1680,-0.1660,-0.2130,23.78%
2021-05-25,-0.1640,-0.1450,-0.1380,-0.1680,17.14%
2021-05-24,-0.1400,-0.1280,-0.1190,-0.1460,10.24%
2021-05-21,-0.1270,-0.1070,-0.1030,-0.1400,18.69%
2021-05-20,-0.1070,-0.1080,-0.0830,-0.1090,-2.73%
2021-05-19,-0.1100,-0.1090,-0.0740,-0.1270,0.00%
2021-05-18,-0.1100,-0.1080,-0.1020,-0.1320,-5.17%
2021-05-17,-0.1160,-0.1380,-0.1000,-0.1520,-5.69%
2021-05-14,-0.1230,-0.1250,-0.1080,-0.1370,8.85%
2021-05-13,-0.1130,-0.1170,-0.0960,-0.1300,-9.60%
2021-05-12,-0.1250,-0.1540,-0.1190,-0.1780,-21.87%
2021-05-11,-0.1600,-0.2090,-0.1520,-0.2110,-24.17%
2021-05-10,-0.2110,-0.2030,-0.1920,-0.2170,-3.65%
2021-05-07,-0.2190,-0.2270,-0.2090,-0.2590,-4.78%
2021-05-06,-0.2300,-0.2350,-0.2090,-0.2520,-0.43%
2021-05-05,-0.2310,-0.2360,-0.2100,-0.2380,-2.94%
2021-05-04,-0.2380,-0.2030,-0.1900,-0.2510,17.24%
2021-05-03,-0.2030,-0.2010,-0.1620,-0.2210,1.50%
2021-04-30,-0.2000,-0.1950,-0.1890,-0.2120,4.17%
2021-04-29,-0.1920,-0.2300,-0.1770,-0.2330,-16.88%
2021-04-28,-0.2310,-0.2380,-0.2030,-0.2440,-8.33%
2021-04-27,-0.2520,-0.2510,-0.2430,-0.2620,-1.18%
2021-04-26,-0.2550,-0.2500,-0.2310,-0.2640,-0.78%
2021-04-23,-0.2570,-0.2670,-0.2470,-0.2760,0.78%
2021-04-22,-0.2550,-0.2830,-0.2380,-0.2870,-1.54%
2021-04-21,-0.2590,-0.2600,-0.2430,-0.2770,0.78%
2021-04-20,-0.2570,-0.2170,-0.2150,-0.2590,8.90%
2021-04-19,-0.2360,-0.2690,-0.2160,-0.2760,-9.92%
2021-04-16,-0.2620,-0.2890,-0.2590,-0.2930,-10.58%
2021-04-15,-0.2930,-0.2580,-0.2490,-0.2950,11.41%
2021-04-14,-0.2630,-0.3100,-0.2600,-0.3120,-9.00%
2021-04-13,-0.2890,-0.2860,-0.2710,-0.3020,-1.37%
2021-04-12,-0.2930,-0.3010,-0.2880,-0.3300,-1.35%
2021-04-09,-0.2970,-0.3320,-0.2830,-0.3350,-11.08%
2021-04-08,-0.3340,-0.3170,-0.3170,-0.3470,5.03%
2021-04-07,-0.3180,-0.3170,-0.3140,-0.3430,0.95%
2021-04-06,-0.3150,-0.3220,-0.2940,-0.3330,-4.11%
2021-04-05,-0.3285,-0.3270,-0.3270,-0.3285,0.00%
2021-04-02,-0.3285,-0.3270,-0.3260,-0.3285,1.08%
2021-04-01,-0.3250,-0.2890,-0.2860,-0.3310,11.30%
2021-03-31,-0.2920,-0.2810,-0.2670,-0.3020,5.42%
2021-03-30,-0.2770,-0.2940,-0.2580,-0.3020,-13.44%
2021-03-29,-0.3200,-0.3530,-0.3150,-0.3700,-8.31%
2021-03-26,-0.3490,-0.3820,-0.3370,-0.3850,-9.35%
2021-03-25,-0.3850,-0.3520,-0.3520,-0.3900,8.15%
2021-03-24,-0.3560,-0.3580,-0.3390,-0.3750,4.09%
2021-03-23,-0.3420,-0.3190,-0.3110,-0.3570,10.32%
2021-03-22,-0.3100,-0.2940,-0.2940,-0.3330,5.44%
2021-03-19,-0.2940,-0.2870,-0.2780,-0.3100,10.94%
2021-03-18,-0.2650,-0.2970,-0.2490,-0.3020,-9.56%
2021-03-17,-0.2930,-0.3310,-0.2850,-0.3390,-13.57%
2021-03-16,-0.3390,-0.3420,-0.3280,-0.3510,0.59%
2021-03-15,-0.3370,-0.3060,-0.3000,-0.3460,14.24%
2021-03-12,-0.2950,-0.3180,-0.2910,-0.3240,-10.88%
2021-03-11,-0.3310,-0.3150,-0.3080,-0.3670,6.43%
2021-03-10,-0.3110,-0.3000,-0.2910,-0.3220,2.64%
2021-03-09,-0.3030,-0.2770,-0.2770,-0.3340,8.21%
2021-03-08,-0.2800,-0.3010,-0.2730,-0.3020,-7.89%
