Date (Sweden),Price,Open,High,Low,Change %
2021-05-07,0.367,0.380,0.398,0.358,-2.52%
2021-05-06,0.377,0.380,0.389,0.361,-0.66%
2021-05-05,0.379,0.379,0.390,0.370,2.43%
2021-05-04,0.370,0.400,0.414,0.370,-7.50%
2021-05-03,0.400,0.402,0.428,0.391,0.38%
2021-05-01,0.398,0.398,0.398,0.398,0.00%
2021-04-30,0.398,0.410,0.410,0.390,-2.69%
2021-04-29,0.410,0.369,0.410,0.365,11.13%
2021-04-28,0.368,0.365,0.405,0.365,1.10%
2021-04-27,0.364,0.362,0.377,0.358,1.96%
2021-04-26,0.357,0.357,0.375,0.353,0.42%
2021-04-23,0.356,0.350,0.356,0.340,4.55%
2021-04-22,0.340,0.349,0.363,0.338,-2.58%
2021-04-21,0.350,0.360,0.375,0.345,-8.03%
2021-04-20,0.380,0.396,0.402,0.368,-4.04%
2021-04-19,0.396,0.368,0.396,0.365,8.05%
2021-04-16,0.366,0.356,0.370,0.356,2.95%
2021-04-15,0.356,0.360,0.380,0.356,-1.11%
2021-04-14,0.360,0.351,0.361,0.332,2.71%
2021-04-13,0.350,0.346,0.365,0.346,1.45%
2021-04-12,0.345,0.346,0.346,0.316,0.73%
2021-04-09,0.343,0.316,0.350,0.316,9.58%
2021-04-08,0.313,0.348,0.348,0.313,-10.06%
2021-04-07,0.348,0.363,0.363,0.340,-4.13%
2021-04-06,0.363,0.370,0.374,0.360,-2.42%
2021-04-01,0.372,0.390,0.390,0.372,-4.62%
2021-03-31,0.390,0.414,0.414,0.385,-5.91%
2021-03-30,0.414,0.375,0.435,0.375,11.28%
2021-03-29,0.373,0.353,0.373,0.345,5.23%
2021-03-26,0.354,0.319,0.360,0.319,11.67%
2021-03-25,0.317,0.353,0.353,0.315,-10.20%
2021-03-24,0.353,0.366,0.366,0.338,-3.55%
2021-03-23,0.366,0.390,0.396,0.360,-10.29%
2021-03-22,0.408,0.405,0.415,0.387,-5.23%
2021-03-19,0.431,0.455,0.455,0.409,-5.38%
2021-03-18,0.455,0.413,0.465,0.413,9.90%
2021-03-17,0.414,0.375,0.415,0.375,10.40%
2021-03-16,0.375,0.390,0.390,0.369,-3.85%
2021-03-15,0.390,0.365,0.391,0.364,-0.51%
2021-03-12,0.392,0.341,0.392,0.341,15.12%
2021-03-11,0.340,0.375,0.375,0.336,-12.24%
