Date (Germany),Price,Open,High,Low,Change %,positive,negative,neutral,avg_positive,avg_negative,avg_neutral
2017-10-02,0.4530,0.4710,0.4930,0.4410,-2.37%,5.192433597519994,3.832615696825087,3.974950423464179,0.39941796903999954,0.2948165920634682,0.30576541718955225
2017-10-03,0.4630,0.4620,0.4950,0.4510,2.21%,2.0007342705503106,3.4516485556960106,1.5476171728223562,0.2858191815071872,0.4930926508137158,0.2210881675460509
2017-10-04,0.4530,0.4470,0.4570,0.4100,-2.16%,3.477547300979495,1.5796626675873995,2.9427900835871696,0.4346934126224369,0.19745783344842494,0.3678487604483962
2017-10-05,0.4580,0.4570,0.4700,0.4200,1.10%,3.799783715978265,5.490259977988899,0.7099565751850605,0.3799783715978265,0.5490259977988898,0.07099565751850605
2017-10-06,0.4600,0.4480,0.5050,0.4470,0.44%,4.744473418220878,4.269126944243908,1.9863996282219887,0.4313157652928071,0.3881024494767189,0.18058178438381714
2017-10-09,0.4440,0.4680,0.4700,0.4420,-3.48%,3.7466269582509995,7.536460360512137,6.716912656091154,0.20814594212505552,0.4186922422506743,0.37316181422728634
2017-10-10,0.4420,0.4510,0.4670,0.4320,-0.45%,11.244996309280396,7.7142777107656,2.040725880302489,0.5354760147276378,0.3673465576555048,0.09717742287154708
2017-10-11,0.4660,0.4560,0.4700,0.4480,5.43%,4.031317982822657,3.0415352657437325,2.9271468706429005,0.40313179828226564,0.3041535265743732,0.29271468706429005
2017-10-12,0.4460,0.4600,0.4670,0.4380,-4.29%,5.740412778221071,4.730989282950759,3.528598001226783,0.4100294841586479,0.3379278059250542,0.25204271437334164
2017-10-13,0.4050,0.4490,0.4490,0.4010,-9.19%,10.701413857750595,5.824573397636414,1.4740126766264439,0.5945229920972552,0.32358741097980076,0.08188959314591354
2017-10-16,0.3700,0.4050,0.4170,0.3690,-8.64%,2.228727920912206,7.366781037300825,2.404490841552615,0.18572732674268386,0.6138984197750688,0.20037423679605126
2017-10-17,0.3670,0.3790,0.3870,0.3560,-0.81%,8.151158473454416,6.958646290004253,3.8901950996369123,0.42900834070812716,0.36624454157917125,0.20474711050720593
