date,positive,negative,neutral,avg_positive,avg_negative,avg_neutral,custom_est
2022-09-30,6.640884674154222,8.687364785000682,0.6717505929991598,0.4150552921346389,0.5429602990625426,0.04198441206244749,-0.12790500651098088
2022-09-29,7.365811691619456,9.119473688304424,1.5147145995870228,0.40921176064552534,0.5066374271280236,0.08415081108816794,-0.09742566659339624
2022-09-28,5.696018526330589,11.830900810658932,1.4730805931612845,0.29979044875424155,0.6226789900346806,0.07753055753480445,-0.3228885424674656
2022-09-27,6.88286514300853,4.61214969586581,2.50498516112566,0.4916332245006093,0.329439263990415,0.1789275115089757,0.1621939605101943
2022-09-26,2.8703676075674593,8.301740920171142,1.8278915099799633,0.22079750827441996,0.6385954553977802,0.14060703922922796,-0.4177979459111495
2022-09-25,0.9383122324943542,0.0290638841688632,0.0326239019632339,0.9383122324943542,0.0290638841688632,0.0326239019632339,0.9092483313894213
2022-09-23,6.137381672859192,6.383641032502055,1.478977501392364,0.438384405204228,0.4559743594644325,0.10564125009945458,-0.017589954000434053
2022-09-22,8.248050437308848,7.243957102298737,0.5079925982281558,0.515503152331803,0.45274731889367104,0.03174953738925974,0.06275583289750716
2022-09-21,6.760045814327896,6.091492723673582,1.1484615597873922,0.4828604153091354,0.43510662311954157,0.0820329685562423,0.047753791856037446
2022-09-20,4.456827227957547,8.645621590316296,0.8975512487813823,0.31834480199696763,0.6175443993083068,0.06411080348438444,-0.29919959587827516
2022-09-19,3.30235688528046,2.5519624650478363,0.1456806063652035,0.55039281421341,0.4253270775079727,0.02428010106086725,0.12506573760813053
2022-09-18,0.0873916894197464,0.8878728151321411,0.024735502898693,0.0873916894197464,0.8878728151321411,0.024735502898693,-0.8004811197483456
2022-09-17,0.0094012198969721,0.9709022641181946,0.0196964740753173,0.0094012198969721,0.9709022641181946,0.0196964740753173,-0.9615010845172677
2022-09-16,1.4660916589200494,10.168519616127014,0.3653885573148721,0.12217430491000413,0.8473766346772512,0.030449046442906007,-0.7252023398982067
2022-09-15,8.44728916324675,9.398236079141498,1.154474631883203,0.4445941664866711,0.494644004165342,0.0607618227306949,-0.050049838009865275
2022-09-14,6.390688986051828,6.995132303796709,0.6141786389052861,0.45647778471798767,0.4996523074140506,0.04386990277894901,-0.04317452291577861
2022-09-13,9.929206266999245,4.449174366891384,0.6216195747256271,0.6619470844666163,0.2966116244594256,0.04144130498170848,0.36533545492619635
2022-09-12,1.214213956147432,4.677866470068693,0.1079196520149704,0.20236899269123867,0.7796444116781155,0.017986608669161734,-0.5772754114600621
2022-09-09,2.3515891190618277,3.9967907071113586,0.6516200136393306,0.33594130272311823,0.5709701010159084,0.09308857337704723,-0.23502880367117193
2022-09-08,8.625267013907433,4.1992333717644215,1.1754998322576282,0.616090500993388,0.2999452408403158,0.08396427373268774,0.3161452552318314
2022-09-07,7.554260853212327,12.933736276812851,2.512002954259514,0.32844612405270984,0.5623363598614283,0.10921751975041365,-0.23389023495161557
2022-09-06,4.4338110238313675,1.854148281738162,2.712040785700083,0.4926456693145964,0.20601647574868467,0.301337865077787,0.2866291906591856
2022-09-05,5.437820935621858,3.5374027341604233,1.0247762743383642,0.5437820935621858,0.3537402734160423,0.10247762743383641,0.19004182120808485
2022-09-04,1.7218962432816625,1.204461146146059,0.07364280335605129,0.5739654144272208,0.401487048715353,0.024547601118683763,0.17247835462819183
2022-09-02,5.342039228416979,5.678588449954987,0.9793723747134205,0.44516993570141494,0.47321570416291553,0.08161436455945172,-0.028045768337432234
2022-09-01,7.8084459928795695,11.591617655009031,0.5999363595619788,0.39042229964397845,0.5795808827504516,0.029996817978098937,-0.18915858303600602
2022-08-31,3.274979812093079,3.5469020046293736,1.1781181637197728,0.4093724765116349,0.4433627505786717,0.1472647704649716,-0.03399027415013357
2022-08-30,7.714867347851396,4.074696101248263,1.2104365751147268,0.5934513344501073,0.3134381616344818,0.09311050577805591,0.28001317229406036
2022-08-29,2.032547968439758,3.8643262032419443,1.1031258143484592,0.29036399549139397,0.5520466004631349,0.1575894020497799,-0.2616826054939786
2022-08-28,0.0076929396018385,0.969733715057373,0.0225733872503042,0.0076929396018385,0.969733715057373,0.0225733872503042,-0.9620407351368734
2022-08-27,0.1103170197457075,0.9169862456619738,0.9726967737078667,0.05515850987285375,0.4584931228309869,0.48634838685393333,-0.40333460506980606
2022-08-26,4.479807011317462,6.237986145541072,0.28220708295702884,0.407255182847042,0.5670896495946429,0.025655189359729894,-0.15983446326298348
2022-08-25,1.6785556860268116,2.944138629361987,0.3773057172074912,0.33571113720536233,0.5888277258723974,0.07546114344149824,-0.25311658701690276
2022-08-24,4.3019338473677635,7.830238930881023,0.8678272580727927,0.3309179882590587,0.6023260716062325,0.06675594292867636,-0.2714080825888684
2022-08-23,6.057897533290088,8.918320750817657,1.0237818239256733,0.3786185958306305,0.5573950469261035,0.06398636399535458,-0.17877644988835859
2022-08-22,2.800185915082693,3.7993025444447994,1.4005113188177343,0.35002323938533664,0.47491281805559993,0.17506391485221678,-0.12488958213055978
2022-08-19,1.4096767324954271,4.957909505814314,0.632413421757519,0.20138239035648958,0.708272786544902,0.09034477453678844,-0.5068904208039338
2022-08-18,13.623838898725808,10.665908135473728,2.710253344848752,0.5045866258787336,0.3950336346471751,0.10037975351291674,0.1095529896935632
2022-08-17,11.146592797711492,7.730749301612377,2.1226579900830984,0.5307901332243568,0.36813091912439894,0.10107895190871898,0.16265921340744036
2022-08-16,8.695585820823908,8.501080926507711,0.8033333644270889,0.4830881011568838,0.47228227369487286,0.044629631357060495,0.010805827394919507
