Date,Price,Open,High,Low,Change %,Change_num
2022-09-30,"2,2484",,,,"-2,9%",-0.0671999999999997
2022-09-29,"2,3156",,,,"1,68%",0.03819999999999979
2022-09-28,"2,2774",,,,"-1,45%",-0.033500000000000085
2022-09-27,"2,3109",,,,"2,32%",0.05250000000000021
2022-09-26,"2,2584",,,,"3,73%",0.08119999999999994
2022-09-23,"2,1772",,,,"3,64%",0.07640000000000002
2022-09-22,"2,1008",,,,"3,28%",0.06680000000000019
2022-09-21,"2,034",,,,"-2,96%",-0.062100000000000044
2022-09-20,"2,0961",,,,"4,77%",0.09549999999999992
2022-09-19,"2,0006",,,,"0,24%",0.0047999999999999154
2022-09-16,"1,9958",,,,"0,48%",0.009500000000000064
2022-09-15,"1,9863",,,,"-1,42%",-0.02859999999999996
2022-09-14,"2,0149",,,,"0,96%",0.019099999999999895
2022-09-13,"1,9958",,,,"1,45%",0.02859999999999996
2022-09-12,"1,9672",,,,"-2,37%",-0.047699999999999854
2022-09-08,"2,0149",,,,"4,83%",0.09289999999999998
2022-09-07,"1,922",,,,"-4,61%",-0.09289999999999998
2022-09-06,"2,0149",,,,"2,68%",0.05249999999999999
2022-09-05,"1,9624",,,,"0,98%",0.019099999999999895
2022-09-02,"1,9433",,,,"-3,1%",-0.06209999999999982
2022-09-01,"2,0054",,,,"1,69%",0.033399999999999874
2022-08-31,"1,972",,,,"-2,59%",-0.05250000000000021
2022-08-30,"2,0245",,,,"-1,39%",-0.02859999999999996
2022-08-29,"2,0531",,,,"6,17%",0.11930000000000018
2022-08-26,"1,9338",,,,"4,11%",0.07640000000000002
2022-08-25,"1,8574",,,,"0,78%",0.01429999999999998
2022-08-24,"1,8431",,,,"3,21%",0.05729999999999991
2022-08-23,"1,7858",,,,"5,65%",0.09550000000000014
2022-08-22,"1,6903",,,,"3,5%",0.05719999999999992
2022-08-19,"1,6331",,,,"6,54%",0.10030000000000006
2022-08-18,"1,5328",,,,"2,88%",0.04289999999999994
2022-08-17,"1,4899",,,,"3,31%",0.047800000000000065
2022-08-16,"1,4421",,,,"3,07%",0.04289999999999994
2022-08-15,"1,3992",,,,"-1,67%",-0.023800000000000043
2022-08-12,"1,423",,,,"-1,65%",-0.023900000000000032
2022-08-11,"1,4469",,,,"2,71%",0.03820000000000001
2022-08-10,"1,4087",,,,"-3,28%",-0.047699999999999854
2022-08-09,"1,4564",,,,"0,99%",0.01429999999999998
2022-08-08,"1,4421",,,,"-1,63%",-0.023900000000000032
2022-08-05,"1,466",,,,"7,71%",0.10499999999999998
2022-08-04,"1,361",,,,"-5,94%",-0.08590000000000009
2022-08-03,"1,4469",,,,"5,57%",0.07640000000000002
2022-08-02,"1,3705",,,,"-1,03%",-0.01429999999999998
2022-08-01,"1,3848",,,,"-1,7%",-0.023900000000000032
2022-07-29,"1,4087",,,,"2,43%",0.033400000000000096
2022-07-28,"1,3753",,,,"-5,26%",-0.07640000000000002
2022-07-27,"1,4517",,,,"0,33%",0.0047999999999999154
2022-07-26,"1,4469",,,,"-4,41%",-0.06679999999999997
2022-07-25,"1,5137",,,,"0,32%",0.0048000000000001375
2022-07-22,"1,5089",,,,"-11,73%",-0.20050000000000012
2022-07-21,"1,7094",,,,"2,85%",0.04730000000000012
2022-07-20,"1,6621",,,,"-1,39%",-0.023500000000000076
2022-07-19,"1,6856",,,,"1,44%",0.023900000000000032
2022-07-18,"1,6617",,,,"5,77%",0.0907
2022-07-15,"1,571",,,,"-0,6%",-0.009500000000000064
2022-07-14,"1,5805",,,,"7,46%",0.10969999999999991
2022-07-13,"1,4708",,,,"3,72%",0.05270000000000019
2022-07-12,"1,4181",,,,"-4,82%",-0.07180000000000009
2022-07-11,"1,4899",,,,"0,98%",0.014399999999999968
2022-07-08,"1,4755",,,,"1,44%",0.02090000000000014
2022-07-07,"1,4546",,,,"2,22%",0.03159999999999985
